category,card,heuristic_count,opponent_count,delta_per_game
banish,Cristal,679,178,1.002
banish,Drone Kiln,0,27,-0.054
banish,Éclat de l'infini,0,26,-0.052
banish,Réacteur d'éclat,3,20,-0.034
banish,Drone Réacteur,0,11,-0.022
banish,Aspirant Maquis,0,9,-0.018
banish,Drones Miniers,0,9,-0.018
banish,Légionnaire Korvus,0,9,-0.018
banish,Initié de l'Ordre,1,9,-0.016
banish,Assassins du vide,2,9,-0.014
buy,Drone Kiln,0,499,-0.998
buy,Initié de l'Ordre,10,454,-0.888
buy,Gardien de la Forêt,423,53,0.74
buy,Drone Réacteur,0,335,-0.67
buy,Moine du portail,0,233,-0.466
buy,Drones Numeri,254,56,0.396
buy,Élémental du Sillon,230,39,0.382
buy,Voyante de Volonté,0,189,-0.378
buy,Drones Miniers,144,310,-0.332
buy,Broyeur Optio,197,46,0.302
decision,Ermite Fongique,31,0,0.062
decision,I.A. Systema,12,0,0.024
decision,"Giga, Adepte de la Source",10,0,0.02
decision,"Zetta, l'encodeuse",8,0,0.016
decision,Chevalier Le'Shai,9,2,0.014
decision,Primus Pilus,6,0,0.012
decision,Fléau des Ombres,0,4,-0.008
decision,Apôtre des ombres,1,4,-0.006
decision,Légionnaire Korvus,3,0,0.006
decision,Saule Vengeur,3,0,0.006
play,Cristal,16904,15911,1.986
play,Gardien de la Forêt,1068,102,1.932
play,Drone Kiln,0,822,-1.644
play,Initié de l'Ordre,11,832,-1.642
play,Ermite Fongique,684,117,1.134
play,Élémental du Sillon,609,74,1.07
play,Drone Réacteur,0,496,-0.992
play,Éclat de l'infini,2638,2265,0.746
play,Réacteur d'éclat,2643,2290,0.706
play,Moine du portail,0,341,-0.682
recruit_free,Drone Réacteur,0,36,-0.072
recruit_free,Héritier du Néant,0,29,-0.058
recruit_free,Moine Cryptopoing,0,26,-0.052
recruit_free,Voyante de Volonté,0,20,-0.04
recruit_free,Omnius l'érudit,0,16,-0.032
recruit_free,Prophète de l'éclat,0,15,-0.03
recruit_free,Broyeur Optio,0,13,-0.026
recruit_free,Brise-Éther,0,12,-0.024
recruit_free,Élémental du Sillon,0,12,-0.024
recruit_free,Initié de l'Ordre,0,11,-0.022
recruit_mercenary,Clerc aux Spores,279,78,0.402
recruit_mercenary,Prophète de l'éclat,43,187,-0.288
recruit_mercenary,Garde Mémoire,29,111,-0.164
recruit_mercenary,Pirate Hérétique,63,120,-0.114
recruit_mercenary,Racine de la Forêt,58,13,0.09
recruit_mercenary,Assassins du vide,133,98,0.07
recruit_mercenary,Brise-Éther,88,54,0.068
recruit_mercenary,Chevalier Le'Shai,144,110,0.068
recruit_mercenary,Fléau des Ombres,105,138,-0.066
recruit_mercenary,Héritier du Néant,48,79,-0.062
