rank,card_id,name,winner_average_number,loser_average_number,delta_average_number,winner_presence_rate,loser_presence_rate,delta_presence_rate,faction,cost,central_copy_count
1,crystal,Cristal,5.642,6.644,-1.002,0.978,1.0,-0.022,neutral,0,
2,drone_kiln,Drone Kiln,0.0,0.956,-0.956,0.0,0.664,-0.664,homodeus,1,3
3,initie_de_l_ordre,Initié de l'Ordre,0.018,0.912,-0.894,0.018,0.638,-0.62,order,1,3
4,gardien_de_la_foret,Gardien de la Forêt,0.846,0.122,0.724,0.646,0.118,0.528,maquis,4,3
5,drone_reacteur,Drone Réacteur,0.0,0.72,-0.72,0.0,0.544,-0.544,homodeus,3,3
6,moine_du_portail,Moine du portail,0.0,0.464,-0.464,0.0,0.4,-0.4,order,3,2
7,voyante_de_volonte,Voyante de Volonté,0.0,0.412,-0.412,0.0,0.374,-0.374,order,4,2
8,elemental_du_sillon,Élémental du Sillon,0.46,0.1,0.36,0.41,0.094,0.316,maquis,5,2
9,drones_miniers,Drones Miniers,0.288,0.614,-0.326,0.26,0.478,-0.218,homodeus,2,3
10,ermite_fongique,Ermite Fongique,0.4,0.104,0.296,0.37,0.1,0.27,maquis,3,2
11,prophete_de_leclat,Prophète de l'éclat,0.098,0.366,-0.268,0.092,0.332,-0.24,order,3,3
12,moine_cryptopoing,Moine Cryptopoing,0.01,0.27,-0.26,0.01,0.244,-0.234,order,5,2
13,fleau_des_ombres,Fléau des Ombres,0.122,0.344,-0.222,0.12,0.304,-0.184,spectra,3,3
14,zelote_des_epines,Zélote des Épines,0.136,0.354,-0.218,0.13,0.316,-0.186,maquis,3,2
15,chevalier_le_shai,Chevalier Le'Shai,0.394,0.182,0.212,0.362,0.18,0.182,maquis,3,3
16,ojas,"Ojas, druide de la genèse",0.0,0.204,-0.204,0.0,0.204,-0.204,maquis,4,1
17,pirate_heretique,Pirate Hérétique,0.408,0.23,0.178,0.366,0.214,0.152,order,3,3
18,garde_memoire,Garde Mémoire,0.1,0.272,-0.172,0.096,0.26,-0.164,order,2,2
19,heritier_du_neant,Héritier du Néant,0.048,0.212,-0.164,0.048,0.2,-0.152,spectra,5,2
20,sentinelle_des_tenebres,Sentinelle des ténèbres,0.38,0.218,0.162,0.356,0.202,0.154,spectra,3,2
21,aspirant_maquis,Aspirant Maquis,0.558,0.418,0.14,0.468,0.354,0.114,maquis,1,3
22,void_assassin,Assassins du vide,0.386,0.248,0.138,0.344,0.238,0.106,spectra,2,3
23,brise_ether,Brise-Éther,0.276,0.142,0.134,0.27,0.138,0.132,spectra,4,2
24,eclaireur_spectral,Éclaireur spectral,0.444,0.562,-0.118,0.374,0.466,-0.092,spectra,1,3
25,ia_systema,I.A. Systema,0.102,0.034,0.068,0.102,0.034,0.068,order,3,1
26,apotre_des_ombres,Apôtre des ombres,0.194,0.26,-0.066,0.18,0.248,-0.068,spectra,2,3
27,clerc_aux_spores,Clerc aux Spores,0.132,0.196,-0.064,0.122,0.172,-0.05,maquis,2,3
28,zetta_l_encodeuse,"Zetta, l'encodeuse",0.086,0.03,0.056,0.086,0.03,0.056,order,5,1
29,infinity_shard,Éclat de l'infini,1.0,0.948,0.052,1.0,0.948,0.052,neutral,0,
30,giga_adepte_de_la_source,"Giga, Adepte de la Source",0.104,0.058,0.046,0.104,0.058,0.046,order,2,1
31,omnius_l_erudit,Omnius l'érudit,0.038,0.078,-0.04,0.038,0.078,-0.04,order,6,1
32,additri_gaia_mancienne,"Additri, Gaïamancienne",0.062,0.024,0.038,0.062,0.024,0.038,maquis,5,1
33,legionnaire_korvus,Légionnaire Korvus,0.44,0.406,0.034,0.382,0.354,0.028,homodeus,3,3
34,shard_reactor,Réacteur d'éclat,0.994,0.96,0.034,0.994,0.96,0.034,neutral,0,
35,racine_de_la_foret,Racine de la Forêt,0.052,0.022,0.03,0.052,0.022,0.03,maquis,7,1
36,evokatus,Evokatus,0.14,0.112,0.028,0.132,0.112,0.02,homodeus,4,2
37,li_hin_la_brisee,"Li Hin, la Brisée",0.014,0.042,-0.028,0.014,0.042,-0.028,spectra,3,1
38,drones_numeri,Drones Numeri,0.11,0.088,0.022,0.106,0.084,0.022,homodeus,3,2
39,valkyrie_des_landes,Valkyrie des Landes,0.058,0.078,-0.02,0.058,0.078,-0.02,homodeus,4,1
40,le_grand_architecte,Le Grand Architecte,0.008,0.024,-0.016,0.008,0.024,-0.016,order,7,1
41,primus_pilus,Primus Pilus,0.056,0.046,0.01,0.056,0.046,0.01,homodeus,2,1
42,zara_ra,"Zara Ra, Écorcheur d’âme",0.076,0.066,0.01,0.076,0.066,0.01,spectra,5,1
43,zen_chi_set,"Zen Chi Set, Fléau des dieux",0.012,0.022,-0.01,0.012,0.022,-0.01,spectra,7,1
44,blaster,Blaster,0.95,0.958,-0.008,0.95,0.958,-0.008,neutral,0,
45,drakonarius,Drakonarius,0.028,0.036,-0.008,0.028,0.036,-0.008,homodeus,6,1
46,saule_vengeur,Saule Vengeur,0.084,0.09,-0.006,0.084,0.09,-0.006,maquis,4,1
47,broyeu_optio,Broyeur Optio,0.078,0.074,0.004,0.076,0.074,0.002,homodeus,5,2
48,general_decurion,Général Décurion,0.008,0.012,-0.004,0.008,0.012,-0.004,homodeus,7,1
