rank,card_id,name,average_number,presence_rate,faction,cost,central_copy_count
1,crystal,Cristal,5.642,0.978,neutral,0,
2,infinity_shard,Éclat de l'infini,1.0,1.0,neutral,0,
3,shard_reactor,Réacteur d'éclat,0.994,0.994,neutral,0,
4,blaster,Blaster,0.95,0.95,neutral,0,
5,gardien_de_la_foret,Gardien de la Forêt,0.846,0.646,maquis,4,3
6,aspirant_maquis,Aspirant Maquis,0.558,0.468,maquis,1,3
7,elemental_du_sillon,Élémental du Sillon,0.46,0.41,maquis,5,2
8,eclaireur_spectral,Éclaireur spectral,0.444,0.374,spectra,1,3
9,legionnaire_korvus,Légionnaire Korvus,0.44,0.382,homodeus,3,3
10,pirate_heretique,Pirate Hérétique,0.408,0.366,order,3,3
11,ermite_fongique,Ermite Fongique,0.4,0.37,maquis,3,2
12,chevalier_le_shai,Chevalier Le'Shai,0.394,0.362,maquis,3,3
13,void_assassin,Assassins du vide,0.386,0.344,spectra,2,3
14,sentinelle_des_tenebres,Sentinelle des ténèbres,0.38,0.356,spectra,3,2
15,drones_miniers,Drones Miniers,0.288,0.26,homodeus,2,3
16,brise_ether,Brise-Éther,0.276,0.27,spectra,4,2
17,apotre_des_ombres,Apôtre des ombres,0.194,0.18,spectra,2,3
18,evokatus,Evokatus,0.14,0.132,homodeus,4,2
19,zelote_des_epines,Zélote des Épines,0.136,0.13,maquis,3,2
20,clerc_aux_spores,Clerc aux Spores,0.132,0.122,maquis,2,3
21,fleau_des_ombres,Fléau des Ombres,0.122,0.12,spectra,3,3
22,drones_numeri,Drones Numeri,0.11,0.106,homodeus,3,2
23,giga_adepte_de_la_source,"Giga, Adepte de la Source",0.104,0.104,order,2,1
24,ia_systema,I.A. Systema,0.102,0.102,order,3,1
25,garde_memoire,Garde Mémoire,0.1,0.096,order,2,2
26,prophete_de_leclat,Prophète de l'éclat,0.098,0.092,order,3,3
27,zetta_l_encodeuse,"Zetta, l'encodeuse",0.086,0.086,order,5,1
28,saule_vengeur,Saule Vengeur,0.084,0.084,maquis,4,1
29,broyeu_optio,Broyeur Optio,0.078,0.076,homodeus,5,2
30,zara_ra,"Zara Ra, Écorcheur d’âme",0.076,0.076,spectra,5,1
31,additri_gaia_mancienne,"Additri, Gaïamancienne",0.062,0.062,maquis,5,1
32,valkyrie_des_landes,Valkyrie des Landes,0.058,0.058,homodeus,4,1
33,primus_pilus,Primus Pilus,0.056,0.056,homodeus,2,1
34,racine_de_la_foret,Racine de la Forêt,0.052,0.052,maquis,7,1
35,heritier_du_neant,Héritier du Néant,0.048,0.048,spectra,5,2
36,omnius_l_erudit,Omnius l'érudit,0.038,0.038,order,6,1
37,drakonarius,Drakonarius,0.028,0.028,homodeus,6,1
38,initie_de_l_ordre,Initié de l'Ordre,0.018,0.018,order,1,3
39,li_hin_la_brisee,"Li Hin, la Brisée",0.014,0.014,spectra,3,1
40,zen_chi_set,"Zen Chi Set, Fléau des dieux",0.012,0.012,spectra,7,1
41,moine_cryptopoing,Moine Cryptopoing,0.01,0.01,order,5,2
42,general_decurion,Général Décurion,0.008,0.008,homodeus,7,1
43,le_grand_architecte,Le Grand Architecte,0.008,0.008,order,7,1
44,drone_kiln,Drone Kiln,0.0,0.0,homodeus,1,3
45,drone_reacteur,Drone Réacteur,0.0,0.0,homodeus,3,3
46,moine_du_portail,Moine du portail,0.0,0.0,order,3,2
47,ojas,"Ojas, druide de la genèse",0.0,0.0,maquis,4,1
48,voyante_de_volonte,Voyante de Volonté,0.0,0.0,order,4,2
