rank,card_id,name,winner_average_number,loser_average_number,delta_average_number,winner_presence_rate,loser_presence_rate,delta_presence_rate,faction,cost,central_copy_count
1,crystal,Cristal,5.334,6.154,-0.82,0.924,0.982,-0.058,neutral,0,
2,eclaireur_spectral,Éclaireur spectral,0.904,0.114,0.79,0.652,0.11,0.542,spectra,1,3
3,drone_kiln,Drone Kiln,0.0,0.634,-0.634,0.0,0.496,-0.496,homodeus,1,3
4,initie_de_l_ordre,Initié de l'Ordre,0.048,0.658,-0.61,0.046,0.51,-0.464,order,1,3
5,void_assassin,Assassins du vide,0.554,0.006,0.548,0.456,0.006,0.45,spectra,2,3
6,drones_miniers,Drones Miniers,0.236,0.764,-0.528,0.22,0.584,-0.364,homodeus,2,3
7,chevalier_le_shai,Chevalier Le'Shai,0.522,0.006,0.516,0.454,0.006,0.448,maquis,3,3
8,drone_reacteur,Drone Réacteur,0.0,0.472,-0.472,0.0,0.376,-0.376,homodeus,3,3
9,pirate_heretique,Pirate Hérétique,0.338,0.678,-0.34,0.3,0.546,-0.246,order,3,3
10,brise_ether,Brise-Éther,0.332,0.002,0.33,0.31,0.002,0.308,spectra,4,2
11,blaster,Blaster,0.91,0.622,0.288,0.91,0.622,0.288,neutral,0,
12,apotre_des_ombres,Apôtre des ombres,0.222,0.004,0.218,0.208,0.004,0.204,spectra,2,3
13,garde_memoire,Garde Mémoire,0.17,0.352,-0.182,0.162,0.32,-0.158,order,2,2
14,moine_cryptopoing,Moine Cryptopoing,0.02,0.188,-0.168,0.02,0.17,-0.15,order,5,2
15,zelote_des_epines,Zélote des Épines,0.17,0.336,-0.166,0.158,0.306,-0.148,maquis,3,2
16,legionnaire_korvus,Légionnaire Korvus,0.392,0.542,-0.15,0.35,0.448,-0.098,homodeus,3,3
17,saule_vengeur,Saule Vengeur,0.144,0.006,0.138,0.144,0.006,0.138,maquis,4,1
18,prophete_de_leclat,Prophète de l'éclat,0.138,0.002,0.136,0.136,0.002,0.134,order,3,3
19,general_decurion,Général Décurion,0.012,0.116,-0.104,0.012,0.116,-0.104,homodeus,7,1
20,aspirant_maquis,Aspirant Maquis,0.45,0.552,-0.102,0.37,0.438,-0.068,maquis,1,3
21,zen_chi_set,"Zen Chi Set, Fléau des dieux",0.024,0.098,-0.074,0.024,0.098,-0.074,spectra,7,1
22,elemental_du_sillon,Élémental du Sillon,0.402,0.332,0.07,0.354,0.306,0.048,maquis,5,2
23,sentinelle_des_tenebres,Sentinelle des ténèbres,0.342,0.272,0.07,0.302,0.252,0.05,spectra,3,2
24,fleau_des_ombres,Fléau des Ombres,0.072,0.004,0.068,0.07,0.004,0.066,spectra,3,3
25,ermite_fongique,Ermite Fongique,0.298,0.232,0.066,0.28,0.22,0.06,maquis,3,2
26,omnius_l_erudit,Omnius l'érudit,0.042,0.102,-0.06,0.042,0.102,-0.06,order,6,1
27,valkyrie_des_landes,Valkyrie des Landes,0.06,0.0,0.06,0.06,0.0,0.06,homodeus,4,1
28,gardien_de_la_foret,Gardien de la Forêt,0.536,0.484,0.052,0.454,0.406,0.048,maquis,4,3
29,drakonarius,Drakonarius,0.048,0.098,-0.05,0.048,0.098,-0.05,homodeus,6,1
30,giga_adepte_de_la_source,"Giga, Adepte de la Source",0.076,0.122,-0.046,0.076,0.122,-0.046,order,2,1
31,heritier_du_neant,Héritier du Néant,0.054,0.012,0.042,0.054,0.012,0.042,spectra,5,2
32,voyante_de_volonte,Voyante de Volonté,0.0,0.038,-0.038,0.0,0.036,-0.036,order,4,2
33,clerc_aux_spores,Clerc aux Spores,0.12,0.148,-0.028,0.108,0.142,-0.034,maquis,2,3
34,drones_numeri,Drones Numeri,0.216,0.24,-0.024,0.202,0.226,-0.024,homodeus,3,2
35,primus_pilus,Primus Pilus,0.086,0.11,-0.024,0.086,0.11,-0.024,homodeus,2,1
36,zara_ra,"Zara Ra, Écorcheur d’âme",0.066,0.09,-0.024,0.066,0.09,-0.024,spectra,5,1
37,ia_systema,I.A. Systema,0.074,0.092,-0.018,0.074,0.092,-0.018,order,3,1
38,broyeu_optio,Broyeur Optio,0.154,0.17,-0.016,0.152,0.166,-0.014,homodeus,5,2
39,li_hin_la_brisee,"Li Hin, la Brisée",0.016,0.032,-0.016,0.016,0.032,-0.016,spectra,3,1
40,shard_reactor,Réacteur d'éclat,0.986,1.0,-0.014,0.986,1.0,-0.014,neutral,0,
41,evokatus,Evokatus,0.194,0.182,0.012,0.184,0.172,0.012,homodeus,4,2
42,zetta_l_encodeuse,"Zetta, l'encodeuse",0.098,0.086,0.012,0.098,0.086,0.012,order,5,1
43,le_grand_architecte,Le Grand Architecte,0.012,0.004,0.008,0.012,0.004,0.008,order,7,1
44,racine_de_la_foret,Racine de la Forêt,0.008,0.016,-0.008,0.008,0.016,-0.008,maquis,7,1
45,additri_gaia_mancienne,"Additri, Gaïamancienne",0.092,0.09,0.002,0.092,0.09,0.002,maquis,5,1
46,infinity_shard,Éclat de l'infini,1.0,1.0,0.0,1.0,1.0,0.0,neutral,0,
47,moine_du_portail,Moine du portail,0.0,0.0,0.0,0.0,0.0,0.0,order,3,2
48,ojas,"Ojas, druide de la genèse",0.0,0.0,0.0,0.0,0.0,0.0,maquis,4,1
