rank,card_id,name,average_number,presence_rate,faction,cost,central_copy_count
1,crystal,Cristal,5.334,0.924,neutral,0,
2,infinity_shard,Éclat de l'infini,1.0,1.0,neutral,0,
3,shard_reactor,Réacteur d'éclat,0.986,0.986,neutral,0,
4,blaster,Blaster,0.91,0.91,neutral,0,
5,eclaireur_spectral,Éclaireur spectral,0.904,0.652,spectra,1,3
6,void_assassin,Assassins du vide,0.554,0.456,spectra,2,3
7,gardien_de_la_foret,Gardien de la Forêt,0.536,0.454,maquis,4,3
8,chevalier_le_shai,Chevalier Le'Shai,0.522,0.454,maquis,3,3
9,aspirant_maquis,Aspirant Maquis,0.45,0.37,maquis,1,3
10,elemental_du_sillon,Élémental du Sillon,0.402,0.354,maquis,5,2
11,legionnaire_korvus,Légionnaire Korvus,0.392,0.35,homodeus,3,3
12,sentinelle_des_tenebres,Sentinelle des ténèbres,0.342,0.302,spectra,3,2
13,pirate_heretique,Pirate Hérétique,0.338,0.3,order,3,3
14,brise_ether,Brise-Éther,0.332,0.31,spectra,4,2
15,ermite_fongique,Ermite Fongique,0.298,0.28,maquis,3,2
16,drones_miniers,Drones Miniers,0.236,0.22,homodeus,2,3
17,apotre_des_ombres,Apôtre des ombres,0.222,0.208,spectra,2,3
18,drones_numeri,Drones Numeri,0.216,0.202,homodeus,3,2
19,evokatus,Evokatus,0.194,0.184,homodeus,4,2
20,garde_memoire,Garde Mémoire,0.17,0.162,order,2,2
21,zelote_des_epines,Zélote des Épines,0.17,0.158,maquis,3,2
22,broyeu_optio,Broyeur Optio,0.154,0.152,homodeus,5,2
23,saule_vengeur,Saule Vengeur,0.144,0.144,maquis,4,1
24,prophete_de_leclat,Prophète de l'éclat,0.138,0.136,order,3,3
25,clerc_aux_spores,Clerc aux Spores,0.12,0.108,maquis,2,3
26,zetta_l_encodeuse,"Zetta, l'encodeuse",0.098,0.098,order,5,1
27,additri_gaia_mancienne,"Additri, Gaïamancienne",0.092,0.092,maquis,5,1
28,primus_pilus,Primus Pilus,0.086,0.086,homodeus,2,1
29,giga_adepte_de_la_source,"Giga, Adepte de la Source",0.076,0.076,order,2,1
30,ia_systema,I.A. Systema,0.074,0.074,order,3,1
31,fleau_des_ombres,Fléau des Ombres,0.072,0.07,spectra,3,3
32,zara_ra,"Zara Ra, Écorcheur d’âme",0.066,0.066,spectra,5,1
33,valkyrie_des_landes,Valkyrie des Landes,0.06,0.06,homodeus,4,1
34,heritier_du_neant,Héritier du Néant,0.054,0.054,spectra,5,2
35,drakonarius,Drakonarius,0.048,0.048,homodeus,6,1
36,initie_de_l_ordre,Initié de l'Ordre,0.048,0.046,order,1,3
37,omnius_l_erudit,Omnius l'érudit,0.042,0.042,order,6,1
38,zen_chi_set,"Zen Chi Set, Fléau des dieux",0.024,0.024,spectra,7,1
39,moine_cryptopoing,Moine Cryptopoing,0.02,0.02,order,5,2
40,li_hin_la_brisee,"Li Hin, la Brisée",0.016,0.016,spectra,3,1
41,general_decurion,Général Décurion,0.012,0.012,homodeus,7,1
42,le_grand_architecte,Le Grand Architecte,0.012,0.012,order,7,1
43,racine_de_la_foret,Racine de la Forêt,0.008,0.008,maquis,7,1
44,drone_kiln,Drone Kiln,0.0,0.0,homodeus,1,3
45,drone_reacteur,Drone Réacteur,0.0,0.0,homodeus,3,3
46,moine_du_portail,Moine du portail,0.0,0.0,order,3,2
47,ojas,"Ojas, druide de la genèse",0.0,0.0,maquis,4,1
48,voyante_de_volonte,Voyante de Volonté,0.0,0.0,order,4,2
