rank,card_id,name,average_number,presence_rate,faction,cost,central_copy_count
1,crystal,Cristal,5.713,0.976,neutral,0,
2,infinity_shard,Éclat de l'infini,1.0,1.0,neutral,0,
3,shard_reactor,Réacteur d'éclat,0.994,0.994,neutral,0,
4,blaster,Blaster,0.948,0.948,neutral,0,
5,gardien_de_la_foret,Gardien de la Forêt,0.814,0.627,maquis,4,3
6,aspirant_maquis,Aspirant Maquis,0.557,0.47,maquis,1,3
7,elemental_du_sillon,Élémental du Sillon,0.49,0.434,maquis,5,2
8,eclaireur_spectral,Éclaireur spectral,0.457,0.393,spectra,1,3
9,legionnaire_korvus,Légionnaire Korvus,0.418,0.364,homodeus,3,3
10,void_assassin,Assassins du vide,0.41,0.357,spectra,2,3
11,pirate_heretique,Pirate Hérétique,0.402,0.358,order,3,3
12,ermite_fongique,Ermite Fongique,0.395,0.359,maquis,3,2
13,sentinelle_des_tenebres,Sentinelle des ténèbres,0.372,0.341,spectra,3,2
14,chevalier_le_shai,Chevalier Le'Shai,0.37,0.337,maquis,3,3
15,drones_miniers,Drones Miniers,0.294,0.266,homodeus,2,3
16,brise_ether,Brise-Éther,0.266,0.259,spectra,4,2
17,apotre_des_ombres,Apôtre des ombres,0.2,0.19,spectra,2,3
18,clerc_aux_spores,Clerc aux Spores,0.162,0.145,maquis,2,3
19,evokatus,Evokatus,0.141,0.136,homodeus,4,2
20,zelote_des_epines,Zélote des Épines,0.14,0.136,maquis,3,2
21,drones_numeri,Drones Numeri,0.119,0.116,homodeus,3,2
22,fleau_des_ombres,Fléau des Ombres,0.116,0.113,spectra,3,3
23,ia_systema,I.A. Systema,0.105,0.105,order,3,1
24,garde_memoire,Garde Mémoire,0.104,0.097,order,2,2
25,prophete_de_leclat,Prophète de l'éclat,0.097,0.093,order,3,3
26,saule_vengeur,Saule Vengeur,0.089,0.089,maquis,4,1
27,giga_adepte_de_la_source,"Giga, Adepte de la Source",0.088,0.088,order,2,1
28,broyeu_optio,Broyeur Optio,0.081,0.079,homodeus,5,2
29,zetta_l_encodeuse,"Zetta, l'encodeuse",0.081,0.081,order,5,1
30,zara_ra,"Zara Ra, Écorcheur d’âme",0.074,0.074,spectra,5,1
31,valkyrie_des_landes,Valkyrie des Landes,0.062,0.062,homodeus,4,1
32,additri_gaia_mancienne,"Additri, Gaïamancienne",0.06,0.06,maquis,5,1
33,primus_pilus,Primus Pilus,0.056,0.056,homodeus,2,1
34,heritier_du_neant,Héritier du Néant,0.053,0.053,spectra,5,2
35,racine_de_la_foret,Racine de la Forêt,0.047,0.047,maquis,7,1
36,omnius_l_erudit,Omnius l'érudit,0.042,0.042,order,6,1
37,drakonarius,Drakonarius,0.025,0.025,homodeus,6,1
38,initie_de_l_ordre,Initié de l'Ordre,0.02,0.02,order,1,3
39,li_hin_la_brisee,"Li Hin, la Brisée",0.018,0.018,spectra,3,1
40,moine_cryptopoing,Moine Cryptopoing,0.01,0.01,order,5,2
41,zen_chi_set,"Zen Chi Set, Fléau des dieux",0.009,0.009,spectra,7,1
42,le_grand_architecte,Le Grand Architecte,0.008,0.008,order,7,1
43,general_decurion,Général Décurion,0.005,0.005,homodeus,7,1
44,drone_kiln,Drone Kiln,0.0,0.0,homodeus,1,3
45,drone_reacteur,Drone Réacteur,0.0,0.0,homodeus,3,3
46,moine_du_portail,Moine du portail,0.0,0.0,order,3,2
47,ojas,"Ojas, druide de la genèse",0.0,0.0,maquis,4,1
48,voyante_de_volonte,Voyante de Volonté,0.0,0.0,order,4,2
